StoreID,Year,Month,Sales
1,2018,1,50000
1,2018,2,55000
1,2018,3,60000
1,2019,1,65000
1,2019,2,70000
1,2019,3,75000
2,2018,1,45000
2,2018,2,50000
2,2018,3,55000
2,2019,1,60000
2,2019,2,65000
2,2019,3,70000
3,2018,1,80000
3,2018,2,85000
3,2018,3,90000
3,2019,1,95000
3,2019,2,100000
3,2019,3,105000
4,2018,1,40000
4,2018,2,45000
4,2018,3,50000
5,2018,1,60000
5,2018,2,65000
5,2018,3,70000
6,2018,1,70000
6,2018,2,75000
6,2018,3,80000
7,2018,1,30000
7,2018,2,35000
7,2018,3,40000
8,2018,1,35000
8,2018,2,40000
8,2018,3,45000
9,2018,1,25000
9,2018,2,30000
9,2018,3,35000
10,2018,1,20000
10,2018,2,25000
10,2018,3,30000
